perfume_name,notes_score,season_score,day_night_score
Libre,white floral(100.0) / citrus(81.7) / lavender(75.7) / vanilla(65.2) / aromatic(57.8) / sweet(55.8) / powdery(53.4) / animalic(52.7) / woody(50.3) / musky(50.0),winter(31.3) / spring(30.5) / summer(7.9) / fall(80.9),day(76.6) / night(46.3)
Pear Ink,powdery(100.0) / violet(86.8) / fruity(76.3) / sweet(76.0) / yellow floral(75.3) / oud(69.0) / floral(67.2) / earthy(66.5) / aromatic(59.9) / fresh(59.9),winter(38.3) / spring(14.9) / summer(4.3) / fall(59.1),day(86.4) / night(45.5)
Lombre Dans L'eau,fruity(100.0) / green(80.8) / aromatic(77.1) / soft spicy(61.2) / rose(59.3) / fresh spicy(50.2) / woody(49.8) / citrus(47.3) / floral(46.7),winter(20.0) / spring(37.5) / summer(4.2) / fall(21.3),day(100.0) / night(86.3)
Virgin Island Water,citrus(100.0) / sweet(79.4) / coconut(75.1) / fresh spicy(52.4) / vanilla(50.6) / lactonic(45.8) / rum(45.3) / woody(44.1),winter(10.6) / spring(13.8) / summer(1.9) / fall(5.5),day(46.3) / night(100.0)
Apple Brandy on the Rocks,fruity(100.0) / woody(89.1) / warm spicy(75.6) / fresh(67.0) / rum(63.1) / sweet(60.4) / green(54.9) / amber(51.2) / aromatic(49.8) / vanilla(49.7),winter(30.9) / spring(14.1) / summer(4.5) / fall(80.1),day(65.5) / night(36.6)
Roasted Cherry,cherry(100.0) / sweet(94.1) / almond(86.8) / nutty(77.2) / fruity(73.5) / vanilla(64.2) / warm spicy(58.0) / amber(54.6) / woody(52.0) / balsamic(48.6),winter(23.0) / spring(17.6) / summer(7.2) / fall(96.1),day(53.6) / night(34.6)
Lombre de Mervais,woody(100.0) / oud(79.6) / fresh spicy(49.4) / animalic(47.4) / earthy(47.4),winter(33.3) / spring(33.3) / summer(100.0) / fall(100.0),day(57.1) / night(42.9)
Colonia Club,aromatic(100.0) / citrus(85.3) / green(83.5) / fresh spicy(80.2) / lavender(51.2),winter(26.3) / spring(26.3) / summer(3.8) / fall(13.7),day(100.0) / night(98.0)
Santal 33,woody(100.0) / powdery(65.0) / leather(59.4) / warm spicy(55.0) / violet(47.7),winter(30.1) / spring(39.1) / summer(16.8) / fall(73.5),day(78.2) / night(50.4)
Melograno,woody(100.0) / mossy(86.8) / earthy(77.8) / citrus(62.1) / musky(55.4) / amber(54.5) / yellow floral(53.3) / fresh spicy(52.3) / patchouli(50.2) / sweet(49.7),winter(23.9) / spring(25.5) / summer(2.8) / fall(60.3),day(83.9) / night(62.8)
French Lover,woody(100.0) / musky(87.4) / amber(83.7) / aromatic(80.1) / green(71.8) / earthy(71.3) / powdery(69.8) / mossy(55.2) / balsamic(50.7) / smoky(46.7),winter(22.5) / spring(23.5) / summer(3.6) / fall(51.3),day(93.0) / night(60.0)
Wood Satin Mood,rose(100.0) / oud(88.7) / floral(56.4) / amber(50.3) / powdery(49.1) / vanilla(49.0) / violet(48.1) / woody(46.3),winter(9.5) / spring(3.2) / summer(3.2) / fall(100.0),day(50.0) / night(25.0)
Coco Mademoiselle,citrus(100.0) / woody(63.2) / patchouli(62.4) / sweet(61.7) / white floral(59.4) / rose(52.9) / earthy(49.2) / vanilla(48.5) / warm spicy(48.0) / yellow floral(47.9),winter(11.3) / spring(27.5) / summer(3.1) / fall(69.3),day(85.5) / night(48.1)
Marrakech,warm spicy(100.0) / woody(54.7) / aromatic(48.0) / powdery(42.3) / balsamic(34.9),winter(7.8) / spring(27.3) / summer(5.2) / fall(75.0),day(41.7) / night(47.2)
Soleil Neige,white floral(100.0) / amber(76.2) / citrus(74.3) / vanilla(62.4) / powdery(56.9) / musky(45.2) / fresh spicy(45.1) / warm spicy(44.9) / sweet(44.1),winter(29.8) / spring(15.1) / summer(3.2) / fall(81.6),day(88.9) / night(71.1)
L'House Dive,woody(100.0) / salty(86.0) / amber(65.0) / marine(58.0) / animalic(37.0),winter(0.0) / spring(100.0) / summer(0.0) / fall(0.0),day(100.0) / night(100.0)
Good Girl Gone Bad Travel Set,white floral(100.0) / woody(78.2) / yellow floral(73.3) / tuberose(72.4) / vanilla(59.6) / sweet(57.6) / rose(56.0) / powdery(50.4) / animalic(49.7),winter(28.2) / spring(33.4) / summer(4.9) / fall(70.1),day(88.3) / night(46.1)
Dawson,chocolate(100.0) / sweet(100.0) / warm spicy(100.0) / cacao(87.3),winter(0.0) / spring(100.0) / summer(0.0) / fall(100.0),day(0.0) / night(0.0)
Tobacco Vanille,vanilla(100.0) / sweet(94.5) / tobacco(85.3) / warm spicy(71.2) / fruity(60.7) / woody(54.0) / cacao(52.8) / powdery(49.5),winter(11.1) / spring(18.0) / summer(5.3) / fall(100.0),day(18.7) / night(11.5)
En Passin,floral(100.0) / fresh(95.4) / aquatic(94.2) / green(76.6) / white floral(64.9) / ozonic(59.9) / musky(45.5),winter(19.0) / spring(17.9) / summer(1.8) / fall(9.9),day(100.0) / night(59.6)
