perfume_name,notes_score,season_score,day_night_score
Baccarat Rouge 540,woody(100.0) / amber(96.1) / warm spicy(70.2) / metallic(46.8) / fresh spicy(46.3) / aromatic(46.0) / white floral(45.4) / animalic(45.0) / fresh(44.2),winter(23.2) / spring(29.1) / summer(20.6) / fall(98.8),day(64.4) / night(42.2)
Torino 21,aromatic(100.0) / fresh spicy(81.1) / green(77.6) / citrus(58.7) / fruity(42.2),winter(11.8) / spring(4.3) / summer(2.0) / fall(5.8),day(82.8) / night(100.0)
Karst,aromatic(100.0) / woody(81.4) / fresh spicy(81.2) / citrus(52.0) / soft spicy(47.5),winter(41.5) / spring(11.7) / summer(9.4) / fall(26.6),day(93.7) / night(100.0)
Rosa Gardenia,white floral(100.0) / floral(75.2) / rose(68.0) / sweet(54.9) / musky(50.9) / green(50.9) / citrus(50.9) / lactonic(49.7) / powdery(49.6) / animalic(45.0),winter(43.8) / spring(55.6) / summer(9.0) / fall(26.8),day(100.0) / night(60.9)
English Pear and Freesia,floral(100.0) / fruity(88.2) / rose(70.2) / sweet(70.0) / aquatic(63.2) / musky(58.5) / fresh(54.0) / patchouli(52.8) / green(50.5) / powdery(45.4),winter(35.8) / spring(32.6) / summer(5.4) / fall(17.5),day(100.0) / night(76.2)
When the Rain Stops,aquatic(100.0) / woody(69.7) / green(65.7) / ozonic(53.7) / rose(53.3) / aromatic(51.1) / mossy(50.1) / earthy(49.7) / fresh(49.2) / citrus(46.0),winter(67.2) / spring(40.1) / summer(7.9) / fall(15.3),day(100.0) / night(74.7)
Delina,rose(100.0) / floral(88.3) / fruity(78.2) / fresh(77.1) / musky(57.3) / green(54.2) / aromatic(53.9) / powdery(53.6) / tropical(52.9) / woody(51.6),winter(27.8) / spring(25.3) / summer(8.3) / fall(35.6),day(100.0) / night(76.8)
You or Someone Like You,green(100.0) / aromatic(70.0) / fresh spicy(56.4) / citrus(55.9) / soft spicy(41.6),winter(32.5) / spring(18.5) / summer(3.5) / fall(6.7),day(88.3) / night(100.0)
Super Cedar,woody(100.0) / aromatic(55.9) / musky(51.6) / powdery(50.6) / earthy(48.0) / rose(47.9),winter(39.4) / spring(42.5) / summer(3.7) / fall(54.6),day(94.6) / night(72.6)
Miami Shake,sweet(100.0) / vanilla(85.8) / fruity(71.8) / fresh(44.8) / powdery(39.4),winter(71.5) / spring(78.5) / summer(32.5) / fall(15.9),day(77.4) / night(100.0)
Boulay Bouchoucher Abeque Moas,sweet(100.0) / warm spicy(80.4) / vanilla(70.0) / woody(66.6) / fruity(52.6) / coconut(52.5) / lactonic(48.9) / aromatic(47.1) / powdery(44.2),winter(36.9) / spring(17.9) / summer(17.9) / fall(97.5),day(76.2) / night(50.0)
Exit the King,soapy(100.0) / white floral(76.0) / rose(73.4) / musky(72.0) / aldehydic(70.9) / mossy(70.0) / fresh(69.1) / earthy(67.5) / woody(66.5) / patchouli(53.8),winter(57.3) / spring(32.8) / summer(7.3) / fall(34.3),day(100.0) / night(73.4)
Velvet Orchid,floral(100.0) / sweet(87.3) / powdery(79.5) / amber(79.0) / woody(70.8) / vanilla(68.7) / balsamic(68.2) / honey(67.9) / rum(62.4) / warm spicy(55.9),winter(14.9) / spring(32.7) / summer(3.8) / fall(94.7),day(38.9) / night(19.3)
Rose,rose(100.0) / vanilla(96.6) / powdery(68.1) / musky(59.3) / floral(51.0) / woody(47.5) / sweet(46.2) / citrus(46.2),winter(20.5) / spring(28.1) / summer(6.5) / fall(100.0),day(66.2) / night(33.6)
Terre d'Hermes,citrus(100.0) / woody(92.2) / fresh spicy(79.3) / aromatic(77.1) / earthy(60.5) / warm spicy(54.7),winter(9.6) / spring(15.5) / summer(2.2) / fall(50.4),day(92.1) / night(71.4)
Twilly d'Hermes Eau Ginger,fresh(100.0) / warm spicy(80.6) / floral(79.6) / fresh spicy(78.5) / woody(56.2) / sweet(55.3) / rose(54.8),winter(43.5) / spring(35.4) / summer(14.0) / fall(30.0),day(93.9) / night(84.5)
Blackberry and Bay,fresh spicy(100.0) / aromatic(96.8) / green(83.0) / citrus(68.4) / white floral(68.4) / fresh(64.0) / musky(59.7) / herbal(51.9) / woody(48.6) / floral(45.4),winter(20.4) / spring(29.5) / summer(2.4) / fall(11.2),day(86.5) / night(95.3)
Lime Basil & Mandarin,citrus(100.0) / aromatic(79.4) / fresh spicy(78.0) / green(61.7) / woody(50.9) / herbal(45.5),winter(30.2) / spring(50.4) / summer(6.6) / fall(13.7),day(78.2) / night(99.0)
Green Irish Tweed,ozonic(100.0) / aquatic(81.6) / iris(80.0) / powdery(79.9) / woody(79.8) / amber(78.8) / animalic(59.3) / violet(55.0) / balsamic(52.6) / green(52.1),winter(10.5) / spring(14.9) / summer(2.5) / fall(23.8),day(100.0) / night(83.1)
Miss Dior,vanilla(100.0) / powdery(99.9) / rose(81.3) / floral(74.4) / fruity(68.5) / sweet(65.8) / fresh(61.8) / iris(59.7) / musky(57.4) / amber(56.6),winter(46.0) / spring(31.5) / summer(7.9) / fall(45.6),day(100.0) / night(60.0)
Smoking Hot,tobacco(100.0) / fruity(94.2) / smoky(89.9) / cinnamon(87.2) / sweet(81.5) / vanilla(80.8) / warm spicy(75.8) / fresh(65.8) / green(58.6) / woody(53.7),winter(13.4) / spring(8.1) / summer(5.5) / fall(100.0),day(26.3) / night(13.1)
Blackberry & Bay,fruity(100.0) / fresh spicy(94.3) / aromatic(79.1) / citrus(78.3) / woody(70.0) / sweet(58.0) / camphor(57.7) / floral(46.0),winter(22.0) / spring(20.1) / summer(2.8) / fall(19.2),day(91.0) / night(97.6)
Gentle Fluidity Silver,aromatic(100.0) / fresh spicy(97.4) / woody(74.3) / musky(41.0) / powdery(40.8),winter(22.4) / spring(15.2) / summer(5.6) / fall(30.3),day(100.0) / night(98.0)
Neroli Amara,citrus(100.0) / white floral(64.1) / fresh spicy(53.9) / aromatic(51.5) / sweet(45.0) / fresh(44.3),winter(19.0) / spring(7.9) / summer(2.0) / fall(13.9),day(86.9) / night(100.0)
Bleu de Chanel Perfume,sweet(100.0) / citrus(92.7) / vanilla(90.5) / powdery(49.3) / fruity(48.8),winter(13.1) / spring(16.4) / summer(0.0) / fall(8.3),day(39.6) / night(100.0)
Dark Amber & Ginger Lily Cologne Intense,warm spicy(100.0) / woody(86.7) / amber(83.6) / fresh spicy(79.7) / floral(70.6) / fresh(66.7) / powdery(57.0) / aromatic(56.7) / animalic(56.7) / balsamic(56.3),winter(18.3) / spring(22.4) / summer(1.9) / fall(88.0),day(43.4) / night(27.7)
Tuscan Leather,leather(100.0) / fruity(55.5) / animalic(55.0) / sweet(47.8) / amber(47.5) / smoky(44.7) / warm spicy(44.6),winter(8.2) / spring(17.0) / summer(3.1) / fall(100.0),day(36.6) / night(14.9)
H.B.,white floral(100.0) / sweet(52.2) / woody(52.0) / fruity(52.0) / tuberose(51.4) / powdery(50.4) / green(47.8) / yellow floral(45.5) / citrus(44.2) / animalic(44.1),winter(5.4) / spring(83.8) / summer(5.4) / fall(41.4),day(55.2) / night(51.7)
No. 5 L'eau,citrus(100.0) / aldehydic(60.6) / fresh(56.2) / woody(48.7) / powdery(48.1) / yellow floral(47.6) / sweet(47.4) / white floral(47.4) / musky(44.6),winter(15.2) / spring(22.1) / summer(3.6) / fall(37.1),day(95.0) / night(75.7)
Vodka on the Rocks,aromatic(100.0) / amber(78.9) / aldehydic(75.0) / fresh(70.7) / warm spicy(67.8) / vodka(66.2) / green(60.5) / musky(59.3) / mossy(55.4) / soft spicy(54.9),winter(39.3) / spring(44.1) / summer(5.7) / fall(38.1),day(95.0) / night(100.0)
Inflorescence,white floral(100.0) / floral(87.7) / fresh(62.2) / green(51.3) / citrus(40.2),winter(26.8) / spring(33.1) / summer(3.0) / fall(9.6),day(100.0) / night(64.4)
Terre d'Hermes,citrus(100.0) / woody(92.2) / fresh spicy(79.3) / aromatic(77.1) / earthy(60.5) / warm spicy(54.7),winter(9.6) / spring(15.5) / summer(2.2) / fall(50.4),day(92.1) / night(71.4)
Eau de,woody(100.0) / citrus(92.1) / aromatic(90.5) / yellow floral(81.0) / tuberose(76.8) / fresh spicy(68.1) / white floral(67.5) / leather(62.8) / sweet(55.5) / animalic(51.9),winter(17.2) / spring(14.6) / summer(1.8) / fall(10.0),day(86.0) / night(100.0)
Young Rose,musky(100.0) / rose(95.9) / floral(65.0) / amber(61.3) / powdery(56.7) / fresh spicy(51.3) / iris(46.8) / citrus(45.2),winter(42.7) / spring(18.1) / summer(3.7) / fall(16.6),day(100.0) / night(86.0)
Gabrielle Chanel Essence,white floral(100.0) / citrus(59.2) / fruity(55.4) / sweet(55.0) / woody(49.2) / tuberose(48.8) / yellow floral(47.8) / animalic(47.2) / powdery(46.9) / fresh(44.5),winter(28.4) / spring(21.7) / summer(5.1) / fall(47.3),day(95.0) / night(66.0)
Desert Dawn,woody(100.0) / powdery(72.5) / musky(57.3) / warm spicy(49.9) / aromatic(47.1),winter(56.3) / spring(26.2) / summer(13.7) / fall(51.8),day(81.1) / night(56.1)
Eau de Rhubarb Ecalate,fruity(100.0) / green(67.2) / sweet(67.0) / aromatic(56.6) / sour(54.0) / musky(50.0) / fresh(45.2),winter(15.6) / spring(16.4) / summer(1.3) / fall(14.3),day(80.7) / night(100.0)
Baccarat Rouge 540 Extrait de Parfum,amber(100.0) / almond(99.6) / warm spicy(87.5) / woody(80.2) / animalic(76.3) / musky(76.1) / nutty(71.8) / fruity(64.8) / metallic(63.8) / white floral(63.4),winter(13.2) / spring(12.3) / summer(8.0) / fall(100.0),day(66.3) / night(35.7)
Chance Eau Tendre,floral(100.0) / fruity(83.5) / citrus(80.6) / sweet(73.5) / fresh spicy(70.4) / powdery(69.3) / white floral(64.4) / musky(63.6) / green(59.4) / iris(58.3),winter(12.5) / spring(26.1) / summer(1.3) / fall(16.9),day(95.4) / night(78.1)
Elladaria,rose(100.0) / musky(91.4) / powdery(83.3) / floral(79.6) / amber(67.3) / fresh(64.3) / citrus(54.2) / soft spicy(47.3) / white floral(46.1) / vanilla(44.9),winter(56.8) / spring(24.7) / summer(15.8) / fall(34.8),day(100.0) / night(87.8)
Orphéon Limited Edition,powdery(100.0) / woody(96.1) / aromatic(93.2) / fresh spicy(67.4) / white floral(63.0),winter(21.8) / spring(9.6) / summer(2.3) / fall(76.3),day(89.8) / night(56.9)
Naxos,amber(100.0) / marine(91.0) / citrus(80.0) / aromatic(74.0) / soft spicy(56.0) / salty(56.0) / aquatic(55.0) / animalic(52.0) / woody(50.0) / fresh spicy(45.0),winter(0.0) / spring(100.0) / summer(100.0) / fall(60.0),day(80.0) / night(100.0)
Eau de Mervaille,woody(100.0) / amber(88.2) / balsamic(73.7) / earthy(67.1) / patchouli(59.2) / mossy(57.6) / warm spicy(44.6),winter(8.6) / spring(10.0) / summer(1.4) / fall(71.7),day(52.2) / night(43.5)
Inle,floral(100.0) / fruity(91.0) / green(75.7) / fresh(75.2) / aromatic(74.3) / fresh spicy(65.2) / white floral(53.8) / woody(50.7) / soft spicy(50.5) / lactonic(50.0),winter(30.1) / spring(25.2) / summer(2.6) / fall(15.0),day(100.0) / night(88.7)
Bergamotto di Calabria,citrus(100.0) / fresh spicy(65.9) / aromatic(52.8) / soft spicy(37.6) / rose(37.0),winter(37.5) / spring(9.6) / summer(6.7) / fall(2.5),day(62.8) / night(100.0)
Mixed Emotions,woody(100.0) / green(94.4) / fruity(94.2) / leather(87.9) / aromatic(76.0) / smoky(66.8) / fresh spicy(63.7) / ozonic(59.1) / fresh(56.5) / soft spicy(52.5),winter(45.5) / spring(39.9) / summer(15.5) / fall(50.3),day(93.2) / night(76.7)
Guilty Pour Femme,vanilla(100.0) / white floral(89.3) / warm spicy(76.0) / powdery(72.2) / iris(66.6) / amber(65.0) / floral(61.5) / citrus(59.7) / fresh spicy(59.5) / sweet(59.3),winter(15.2) / spring(10.1) / summer(8.8) / fall(95.6),day(96.1) / night(43.9)
Aqua Allegoria Forte Mandarin Basilic,citrus(100.0) / sweet(58.4) / green(58.2) / fresh spicy(57.6) / aromatic(57.5) / white floral(53.9) / honey(50.4) / vanilla(50.1) / fruity(47.7),winter(24.4) / spring(12.8) / summer(3.2) / fall(21.7),day(85.2) / night(100.0)
Playing with the Devil,fruity(100.0) / warm spicy(58.6) / woody(57.5) / citrus(50.0) / fresh spicy(48.6) / fresh(45.4),winter(24.1) / spring(31.7) / summer(3.4) / fall(43.2),day(95.8) / night(75.8)
Man Rain Essence,musky(100.0) / floral(95.1) / citrus(84.9) / ozonic(77.8) / green(75.8) / powdery(74.6) / woody(73.2) / aquatic(70.7) / amber(65.2) / sweet(53.5),winter(47.1) / spring(18.6) / summer(8.3) / fall(16.1),day(98.2) / night(100.0)
Mandarino d'Amalfi,almond(100.0) / rose(95.4) / floral(75.0) / citrus(72.1) / powdery(68.5) / vanilla(62.0) / nutty(58.3) / fruity(56.9) / sweet(54.4) / soft spicy(47.4),winter(45.4) / spring(19.8) / summer(6.5) / fall(48.4),day(100.0) / night(64.7)
From the Garden,aromatic(100.0) / fresh spicy(89.1) / green(63.0) / citrus(50.2) / patchouli(48.1) / warm spicy(44.8),winter(47.8) / spring(39.4) / summer(22.4) / fall(5.2),day(100.0) / night(91.8)
Amber Vanilla,musky(100.0) / amber(78.8) / woody(61.4) / vanilla(55.3) / powdery(51.9) / soft spicy(47.5),winter(48.0) / spring(17.2) / summer(5.4) / fall(79.3),day(85.9) / night(61.0)
Vetiberio,citrus(100.0) / aromatic(84.0) / woody(76.4) / fresh spicy(69.3) / powdery(54.1) / musky(52.9) / earthy(52.6) / rose(50.3),winter(25.0) / spring(25.9) / summer(2.1) / fall(25.3),day(98.6) / night(85.2)
Bubble Bath,soapy(100.0) / coconut(76.8) / musky(75.9) / lavender(56.8) / sweet(54.6) / powdery(54.4) / white floral(48.8) / lactonic(46.4) / rose(46.0) / citrus(45.8),winter(56.9) / spring(38.8) / summer(9.4) / fall(29.6),day(92.7) / night(88.5)
Chance Eau Fresh,citrus(100.0) / aldehydic(82.6) / fresh(75.4) / white floral(70.9) / woody(67.5) / amber(56.5),winter(26.7) / spring(14.1) / summer(4.2) / fall(20.5),day(100.0) / night(100.0)
Uncut Gem,fresh spicy(100.0) / amber(96.8) / citrus(88.1) / musky(81.8) / powdery(66.8) / woody(61.3) / aromatic(59.2) / fresh(49.0) / animalic(46.0) / earthy(44.6),winter(56.7) / spring(48.1) / summer(28.9) / fall(70.2),day(97.7) / night(73.8)
Angel di Firenze,fruity(100.0) / powdery(79.4) / ozonic(73.0) / aquatic(72.1) / fresh(71.6) / sweet(70.0) / white floral(68.5) / floral(68.0) / musky(63.8) / iris(59.0),winter(43.0) / spring(13.5) / summer(1.0) / fall(10.9),day(100.0) / night(94.9)
Oolong Tea Extra de Parfum,aromatic(100.0) / floral(72.9) / woody(63.4) / fruity(62.1) / fresh spicy(57.1) / citrus(52.0) / amber(44.4),winter(69.4) / spring(61.2) / summer(20.9) / fall(21.7),day(100.0) / night(71.3)
Orphéon Solid Perfume,aromatic(100.0) / woody(94.9) / fresh spicy(70.4) / white floral(66.1) / vanilla(50.2) / amber(44.4),winter(0.0) / spring(0.0) / summer(7.7) / fall(87.5),day(100.0) / night(100.0)
Mont Paris,lactonic(100.0) / vanilla(98.9) / sweet(83.0) / nutty(57.4) / balsamic(55.1) / fresh spicy(52.3) / warm spicy(50.6) / musky(49.2) / powdery(48.6) / amber(47.8),winter(46.4) / spring(33.0) / summer(16.8) / fall(91.3),day(41.3) / night(13.4)
Aqua Universale Forte,white floral(100.0) / citrus(95.1) / musky(59.3) / aromatic(49.4) / powdery(47.5) / animalic(44.1) / woody(44.1),winter(22.7) / spring(31.9) / summer(5.7) / fall(11.9),day(92.1) / night(97.6)
Erolpa,citrus(100.0) / fresh spicy(72.3) / woody(67.4) / green(60.9) / aromatic(58.2) / amber(57.5) / powdery(55.2) / fresh(52.1) / animalic(49.0) / floral(44.8),winter(19.2) / spring(22.8) / summer(4.0) / fall(8.1),day(84.1) / night(100.0)
Back to Black,sweet(100.0) / honey(71.1) / tobacco(58.6) / amber(57.3) / fruity(53.7) / cherry(51.6) / warm spicy(51.0) / vanilla(50.9) / floral(48.1) / almond(44.2),winter(12.6) / spring(34.7) / summer(4.8) / fall(100.0),day(23.6) / night(12.9)
Can't Stop Loving You,white floral(100.0) / honey(74.3) / sweet(73.6) / amber(67.1) / mossy(61.9) / vanilla(57.2) / citrus(55.7) / earthy(52.4) / woody(47.7) / animalic(44.7),winter(55.8) / spring(47.9) / summer(12.4) / fall(50.5),day(100.0) / night(68.5)
MYSLF,citrus(100.0) / white floral(82.9) / patchouli(54.1) / fresh spicy(51.8) / woody(48.8) / sweet(45.9),winter(21.5) / spring(9.1) / summer(5.0) / fall(42.6),day(100.0) / night(96.0)
Woman in Gold,vanilla(100.0) / citrus(80.0) / rose(73.5) / woody(65.7) / fresh spicy(64.0) / aromatic(61.8) / warm spicy(59.9) / floral(59.4) / sweet(56.9) / oud(54.2),winter(33.0) / spring(27.6) / summer(5.1) / fall(83.4),day(73.6) / night(42.5)
Sauvage,fresh spicy(100.0) / amber(71.7) / citrus(69.6) / aromatic(63.5) / musky(57.9) / woody(54.2) / lavender(46.2) / herbal(45.7) / warm spicy(45.3),winter(23.6) / spring(36.1) / summer(12.3) / fall(66.3),day(100.0) / night(92.4)
Nuit de Cellophane,white floral(100.0) / fruity(97.5) / floral(85.7) / sweet(58.0) / soft spicy(53.2) / green(52.4) / citrus(47.6) / honey(45.7),winter(18.6) / spring(30.5) / summer(1.1) / fall(28.9),day(95.5) / night(66.5)
Rose Tonnerre,rose(100.0) / fresh spicy(55.6) / aromatic(52.5) / floral(51.6) / earthy(44.8) / honey(44.0),winter(16.1) / spring(23.5) / summer(4.3) / fall(72.9),day(100.0) / night(54.5)
Den Thé Bréaud,tobacco(100.0) / warm spicy(91.0) / cacao(90.0) / woody(87.0) / patchouli(80.0) / sweet(77.0) / beeswax(70.0) / earthy(62.0) / honey(60.0) / leather(50.0),winter(0.0) / spring(10.0) / summer(0.0) / fall(0.0),day(0.0) / night(0.0)
Wild Bluebell,musky(100.0) / powdery(96.7) / green(91.8) / aquatic(82.9) / sweet(68.5) / fruity(63.7) / warm spicy(45.7),winter(30.5) / spring(24.6) / summer(2.8) / fall(11.1),day(100.0) / night(86.0)
Cypress and Grapevine Cologne Intense,woody(100.0) / fresh spicy(66.8) / aromatic(62.4) / warm spicy(56.0) / powdery(47.4) / amber(44.7),winter(21.4) / spring(25.0) / summer(0.0) / fall(95.0),day(90.0) / night(40.0)
Eau de Soleil Blanc,citrus(100.0) / white floral(87.2) / coconut(64.2) / sweet(64.0) / vanilla(60.4) / tuberose(52.8) / green(51.0) / aromatic(50.7) / fresh spicy(47.3) / amber(45.7),winter(25.0) / spring(21.2) / summer(3.3) / fall(7.3),day(45.7) / night(100.0)
La Leligieuse,white floral(100.0) / musky(94.2) / amber(65.6) / powdery(60.8) / animalic(60.3) / smoky(57.0) / balsamic(46.9),winter(25.9) / spring(29.8) / summer(2.3) / fall(77.3),day(100.0) / night(43.0)
J'adore Parfum Do,white floral(100.0) / citrus(70.2) / tuberose(65.6) / yellow floral(62.6) / sweet(51.4) / woody(50.8) / rose(50.3) / green(49.6) / floral(48.2) / fresh(47.5),winter(28.6) / spring(28.6) / summer(42.9) / fall(57.1),day(85.7) / night(28.6)
By the Fireplace,woody(100.0) / vanilla(78.8) / balsamic(76.3) / warm spicy(70.6) / amber(63.2) / powdery(58.7) / nutty(52.6) / musky(46.3) / soft spicy(45.3) / sweet(44.5),winter(15.9) / spring(13.3) / summer(5.3) / fall(100.0),day(10.1) / night(6.3)
Pour Homme,musky(100.0) / woody(83.1) / green(77.5) / fresh(76.2) / fresh spicy(73.9) / powdery(57.4) / floral(49.4) / ozonic(45.8),winter(12.6) / spring(5.6) / summer(3.7) / fall(35.7),day(99.5) / night(100.0)
Dior Homme,iris(100.0) / woody(81.4) / powdery(77.1) / earthy(68.2) / aromatic(65.1) / violet(65.0) / floral(63.4) / lavender(62.4) / musky(60.8) / fruity(45.1),winter(6.0) / spring(7.7) / summer(2.0) / fall(100.0),day(38.6) / night(15.6)
Twilly d'Hermes,white floral(100.0) / citrus(82.5) / fresh spicy(76.2) / tuberose(73.5) / fresh(61.2) / woody(60.5) / powdery(50.0) / animalic(47.7) / vanilla(45.4),winter(24.8) / spring(52.0) / summer(6.7) / fall(46.9),day(83.5) / night(47.4)
La Huide Berollin,aromatic(100.0) / woody(91.2) / fresh spicy(76.7) / earthy(50.4) / musky(47.5),winter(100.0) / spring(0.0) / summer(0.0) / fall(100.0),day(0.0) / night(100.0)
Un Jardin a Cité,woody(100.0) / citrus(97.1) / green(85.8) / fresh(63.6) / nutty(53.7),winter(45.5) / spring(33.0) / summer(8.7) / fall(12.5),day(78.2) / night(100.0)
Paradox Virtual Fla,white floral(100.0) / citrus(85.8) / musky(82.2) / floral(68.2) / fresh spicy(55.9) / aromatic(51.7) / powdery(49.7) / fresh(47.3),winter(61.9) / spring(30.6) / summer(14.1) / fall(19.5),day(100.0) / night(83.9)
Aqua Universale,citrus(100.0) / white floral(75.0) / fresh(53.4) / musky(50.7) / aromatic(45.1) / green(44.1),winter(29.5) / spring(26.3) / summer(4.5) / fall(13.2),day(86.9) / night(100.0)
Un Passion,floral(100.0) / yellow floral(74.9) / sweet(72.2) / white floral(71.6) / woody(68.6) / warm spicy(65.4) / vanilla(54.8) / fresh spicy(53.2) / lactonic(48.7) / powdery(47.7),winter(22.3) / spring(11.5) / summer(5.4) / fall(18.5),day(77.3) / night(100.0)
Coco Noir,warm spicy(100.0) / woody(93.6) / citrus(90.4) / fresh spicy(84.6) / amber(80.7) / aromatic(75.5) / patchouli(74.6) / vanilla(72.5) / rose(71.5) / balsamic(64.1),winter(10.5) / spring(27.2) / summer(1.9) / fall(92.1),day(38.6) / night(22.4)
Oud,oud(100.0) / fruity(99.1) / leather(82.3) / sweet(78.4) / tropical(68.9) / warm spicy(62.8) / amber(61.1) / animalic(55.3) / woody(55.3) / fresh(52.2),winter(13.9) / spring(11.1) / summer(7.6) / fall(100.0),day(50.1) / night(24.8)
Moonlight in Heaven Coffret,citrus(100.0) / sweet(97.9) / tropical(86.7) / aromatic(77.5) / coconut(68.3) / fruity(67.9) / woody(60.1) / vanilla(58.5) / lactonic(56.8) / earthy(53.0),winter(35.1) / spring(23.8) / summer(5.2) / fall(18.5),day(79.2) / night(100.0)
Eau Rose,rose(100.0) / fruity(71.0) / floral(60.9) / fresh spicy(55.7) / aromatic(52.4) / musky(50.0) / citrus(49.3) / woody(47.9) / tropical(47.1) / powdery(44.1),winter(22.9) / spring(12.0) / summer(1.3) / fall(15.8),day(100.0) / night(76.6)
Flora Gorgeous Jasmine,citrus(100.0) / white floral(91.6) / floral(83.9) / woody(55.3) / fresh spicy(53.7) / warm spicy(53.0) / rose(44.7) / amber(44.5),winter(46.0) / spring(28.5) / summer(7.5) / fall(16.2),day(100.0) / night(74.9)
Armani Code,iris(100.0) / aromatic(87.6) / powdery(81.5) / woody(78.9) / citrus(78.4) / vanilla(59.7) / earthy(58.0) / aldehydic(56.5) / violet(54.2) / fresh spicy(53.2),winter(15.6) / spring(5.4) / summer(2.1) / fall(93.8),day(93.5) / night(53.7)
Princess,powdery(100.0) / sweet(96.4) / green(64.2) / fresh spicy(53.5) / fresh(44.7),winter(15.8) / spring(7.0) / summer(1.6) / fall(93.7),day(95.5) / night(56.8)
Myrrh & Tonka Cologne Intense,amber(100.0) / vanilla(98.2) / sweet(80.1) / warm spicy(60.2) / balsamic(59.4) / almond(56.7) / aromatic(53.1) / nutty(46.0),winter(22.9) / spring(17.1) / summer(2.9) / fall(100.0),day(36.9) / night(21.5)
